Date,Open,High,Low,Close,Adj Close,Volume
10-1-08,3.997143,4.012857,3.835357,3.897143,3.327504,1296484000
10-2-08,3.8575,3.885357,3.571429,3.575,3.052449,1609364400
10-3-08,3.714286,3.803571,3.380357,3.466786,2.960052,2294398400
10-6-08,3.284286,3.527857,3.126429,3.505,2.992682,2107417200
10-7-08,3.588571,3.625,3.176786,3.184286,2.718845,1878772000
10-8-08,3.068214,3.440357,3.06,3.206786,2.738056,2207741200
10-9-08,3.333929,3.421429,3.092857,3.169286,2.706038,1617383600
10-10-08,3.060714,3.571429,3.035714,3.457143,2.951819,2219299600
10-13-08,3.733929,3.9475,3.607857,3.937857,3.362268,1539076000
10-14-08,4.152143,4.157143,3.683571,3.717143,3.173815,1980994400
10-15-08,3.708571,3.821429,3.496071,3.498214,2.986887,1584175600
10-16-08,3.563214,3.693929,3.276429,3.638929,3.107034,1980521200
10-17-08,3.557143,3.644286,3.0675,3.478571,2.970115,1762227600
10-20-08,3.563571,3.5725,3.344286,3.515714,3.001829,1549170000
10-21-08,3.4625,3.496429,3.255714,3.2675,2.789895,2193660000
10-22-08,3.4775,3.616071,3.318929,3.459643,2.953954,2248808800
10-23-08,3.446786,3.544643,3.282143,3.508214,2.995425,1675430400
10-24-08,3.226071,3.496429,3.218214,3.442143,2.939011,1590058400
10-27-08,3.395357,3.486786,3.280714,3.288929,2.808192,1208771200
10-28-08,3.408214,3.589286,3.298929,3.568214,3.046655,1634133200
10-29-08,3.602143,3.912143,3.569286,3.733929,3.188148,1950978400
10-30-08,3.865357,4.006786,3.843214,3.965714,3.386053,1638089600
10-31-08,3.835714,3.956429,3.755,3.8425,3.280849,1659756000
11-3-08,3.783214,3.896429,3.745,3.82,3.261638,1057938000
11-4-08,3.928214,3.9925,3.809643,3.963929,3.384528,1398681200
11-5-08,3.889643,3.918571,3.678214,3.689286,3.15003,1256455200
11-6-08,3.608929,3.670714,3.5,3.539286,3.021955,1319074400
11-7-08,3.544286,3.566071,3.418571,3.508571,2.99573,1095253600
11-10-08,3.5775,3.585714,3.375,3.424286,2.923764,1123822000
11-11-08,3.386071,3.470357,3.295,3.384643,2.889915,1224538000
11-12-08,3.301071,3.33,3.214643,3.218571,2.748118,1178976400
11-13-08,3.209643,3.444286,3.072143,3.444286,2.940842,1854087200
11-14-08,3.348571,3.356786,3.214286,3.222857,2.751778,1405266800
11-17-08,3.16,3.233929,3.116429,3.147857,2.687741,1162526400
11-18-08,3.201429,3.249643,3.102143,3.211071,2.741714,1209695200
11-19-08,3.194286,3.270714,3.078929,3.081786,2.631327,1171900800
11-20-08,3.044286,3.0875,2.857143,2.874643,2.454462,1716814400
11-21-08,2.926071,3.004286,2.826429,2.949286,2.518194,1569271200
11-24-08,3.043214,3.385357,3.03,3.319643,2.834417,1442257600
11-25-08,3.379643,3.3825,3.148571,3.242857,2.768855,1235292800
11-26-08,3.211429,3.401786,3.208929,3.392857,2.89693,899836000
11-28-08,3.382143,3.384286,3.280714,3.309643,2.825878,297774400
12-1-08,3.260714,3.295357,3.175714,3.176071,2.711832,923767600
12-2-08,3.215357,3.308929,3.089286,3.3025,2.81978,1148722400
12-3-08,3.192857,3.436786,3.171429,3.425,2.924375,1338680000
12-4-08,3.3725,3.400357,3.180714,3.264643,2.787456,1091370000
12-5-08,3.226786,3.374643,3.173571,3.357143,2.866436,1043795200
12-8-08,3.474286,3.6,3.421429,3.561429,3.040863,1185142000
12-9-08,3.501429,3.7,3.471786,3.573571,3.051229,1203496000
12-10-08,3.495357,3.553214,3.446429,3.5075,2.994816,938047600
12-11-08,3.476786,3.615714,3.386786,3.392857,2.89693,1040617200
12-12-08,3.314286,3.535714,3.304643,3.509643,2.996645,1041174400
12-15-08,3.428214,3.436071,3.321429,3.383929,2.889306,891758000
12-16-08,3.356429,3.445714,3.3125,3.408214,2.910042,1093506400
12-17-08,3.251071,3.253571,3.143571,3.184286,2.718845,1293860400
12-18-08,3.189643,3.243929,3.158571,3.193929,2.727078,857416000
12-19-08,3.212143,3.247857,3.171429,3.214286,2.74446,801920000
12-22-08,3.215,3.215357,3.024643,3.062143,2.614556,844740400
